id;name;description;photo;photo_content_type;air_conditioning;radio;abs;electric_windows;central_locking;big_trunk;fuel_efficiency;family_size;automatic_gear_box;seats_number;fuel;price_per_day
1;Small Croatian Kuna;program Coordinator;../fake-data/blob/hipster.png;image/png;true;true;true;false;true;true;true;true;true;7298;DIESEL;66743
2;extensible;content Auto Loan Account;../fake-data/blob/hipster.png;image/png;true;true;false;false;false;false;true;true;false;35295;ELECTRIC;2997
3;Personal Loan Account microchip Directives;Accounts generating Cameroon;../fake-data/blob/hipster.png;image/png;true;false;true;false;true;false;false;false;false;80416;ELECTRIC;70478
4;Synergistic Forest infrastructures;content Plastic Handcrafted Frozen Chair;../fake-data/blob/hipster.png;image/png;false;true;false;false;true;false;true;false;false;41003;ELECTRIC;28220
5;mobile gold;Knolls Spurs ADP;../fake-data/blob/hipster.png;image/png;true;true;false;false;true;true;true;false;false;78482;GAS;11001
6;Sausages Bike recontextualize;Metrics productivity Frozen;../fake-data/blob/hipster.png;image/png;true;true;false;false;true;false;true;false;false;89345;DIESEL;35024
7;Shoes system primary;Buckinghamshire relationships Michigan;../fake-data/blob/hipster.png;image/png;true;false;true;false;true;true;false;true;false;6011;ELECTRIC;6361
8;Oregon;violet;../fake-data/blob/hipster.png;image/png;false;false;false;false;true;true;false;false;true;9418;ELECTRIC;73792
9;firewall hack Books;Money Market Account Open-architected;../fake-data/blob/hipster.png;image/png;true;false;true;true;false;false;false;true;false;67081;DIESEL;72841
10;Illinois Ohio Sleek Concrete Mouse;Handmade Concrete Shoes;../fake-data/blob/hipster.png;image/png;false;false;true;false;true;false;false;false;true;54050;ELECTRIC;75387
