id;car_id;user_email_address;rent_period;price;ongoing
1;69093;invoice revolutionize methodologies;Assistant;97131;true
2;13840;Metal Locks collaboration;Shoes New York SCSI;85052;false
3;11302;Managed Generic Concrete Cheese;4th generation Frozen;4415;true
4;6712;Bedfordshire Incredible;Pataca Colorado;89547;false
5;63625;haptic Cheese Customer;Specialist bandwidth synergies;70593;true
6;81797;Trinidad and Tobago Dollar Markets matrix;Home Loan Account Decentralized;80682;true
7;49075;Auto Loan Account;Human payment Operative;90319;false
8;66325;Applications;generate orange;55882;true
9;28994;payment;Executive;68727;false
10;79595;Agent firmware synergy;conglomeration withdrawal Home Loan Account;75928;true
